Summary,Description,Custom field (Root Cause),Comment,Issue Type,Status,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Watchers,Custom field (Approvers),Custom field (Approvers)Id,Custom field (Epic Link),Epic Link Summary,Sprint,Parent,Parent summary
Hard Drive Failure,The hard drive is not recognized by the system.,Mechanical failure or bad sectors on the disk.,Steps to Resolve: Check power and data connections. Run disk diagnostics. Replace the hard drive if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Overheating CPU,CPU temperature exceeds safe operating limits.,Insufficient cooling due to dust buildup or failed fan.,Steps to Resolve: Clean the CPU cooler and fans. Replace thermal paste. Ensure proper airflow in the case.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Memory Module Failure,System fails to boot or experiences crashes.,Defective RAM or incompatible memory modules.,Steps to Resolve: Reseat the memory modules. Test with known good modules. Replace faulty RAM.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Power Supply Unit (PSU) Failure,System powers off unexpectedly or fails to start.,PSU may be faulty or insufficient wattage for components.,Check connections and voltage. Test with a multimeter. Replace the PSU if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Graphics Card Malfunction,Artifacts appear on screen or system fails to boot.,Overheating or driver issues with the graphics card.,Steps to Resolve: Clean the GPU and check fans. Update graphics drivers. Replace the graphics card if issues persist.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Motherboard Failure,System does not power on or displays POST errors.,Defective motherboard or damaged components.,Steps to Resolve: Inspect for physical damage. Test with minimal components. Replace motherboard if needed.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Network Connectivity Issues,Cannot connect to the network or internet.,Faulty network adapter or incorrect settings.,Steps to Resolve: Check physical connections. Update network drivers. Replace the network card if necessary.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
USB Port Malfunction,USB devices are not recognized or do not work.,Damaged USB ports or driver issues.,Steps to Resolve: Check for physical damage. Update USB drivers. Replace motherboard if ports are integrated.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Boot Device Not Found,System fails to find the boot device during startup.,Incorrect BIOS settings or faulty hard drive.,Steps to Resolve: Check BIOS boot order. Run diagnostics on the hard drive. Repair or replace the boot drive.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
Screen Flickering,Monitor screen flickers or displays artifacts.,Loose connections or outdated graphics drivers.,Steps to Resolve: Check and secure connections. Update or reinstall graphics drivers. Test with a different monitor.,Bug,Resolved,Medium,Done,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,61431abc1370f000692d8721,Sailee Mogale,Sailee Mogale,61431abc1370f000692d8721,AABASE-98,"To track incidents, RCA and steps to resolve any issue",Sprint 2,16751,"To track incidents, RCA and steps to resolve any issue"
